,date,method,class_1,class_2,class_3,class_4
480,10/15/2020,tOPS,0,28,42,206
481,10/16/2020,Fixed (20),0,15,175,158
482,10/16/2020,Fixed (4),0,72,48,158
483,10/16/2020,Hist Prev (20),0,57,60,159
484,10/16/2020,Hist Prev (4),0,72,48,158
485,10/16/2020,Individual,0,0,0,445
486,10/16/2020,PET (20),25,31,49,158
487,10/16/2020,PET (4),25,52,43,158
488,10/16/2020,tOPS,0,32,90,158
489,10/19/2020,Fixed (20),0,22,240,89
490,10/19/2020,Fixed (4),0,108,68,90
491,10/19/2020,Hist Prev (20),0,80,92,90
492,10/19/2020,Hist Prev (4),0,108,68,90
493,10/19/2020,Individual,0,0,0,520
494,10/19/2020,PET (20),37,52,83,89
495,10/19/2020,PET (4),37,79,64,89
496,10/19/2020,tOPS,0,67,109,90
497,10/20/2020,Fixed (20),0,27,192,120
498,10/20/2020,Fixed (4),0,130,56,120
499,10/20/2020,Hist Prev (20),0,90,76,120
500,10/20/2020,Hist Prev (4),0,130,56,120
501,10/20/2020,Individual,0,0,0,640
502,10/20/2020,PET (20),44,45,75,120
503,10/20/2020,PET (4),44,96,52,121
504,10/20/2020,tOPS,0,57,106,120
505,10/21/2020,Fixed (20),0,36,96,116
506,10/21/2020,Fixed (4),0,177,24,116
507,10/21/2020,Hist Prev (20),0,135,27,116
508,10/21/2020,Hist Prev (4),0,177,24,116
509,10/21/2020,Individual,0,0,0,823
510,10/21/2020,PET (20),59,34,61,116
511,10/21/2020,PET (4),59,132,23,116
512,10/21/2020,tOPS,0,46,69,116
513,10/22/2020,Fixed (20),0,15,98,129
514,10/22/2020,Fixed (4),0,67,24,131
515,10/22/2020,Hist Prev (20),0,51,31,130
516,10/22/2020,Hist Prev (4),0,67,24,131
517,10/22/2020,Individual,0,0,0,397
518,10/22/2020,PET (20),23,19,44,129
519,10/22/2020,PET (4),23,49,22,130
520,10/22/2020,tOPS,0,32,54,130
521,10/23/2020,Fixed (20),0,19,253,199
522,10/23/2020,Fixed (4),0,89,87,200
523,10/23/2020,Hist Prev (20),0,67,104,200
524,10/23/2020,Hist Prev (4),0,89,87,200
525,10/23/2020,Individual,0,0,0,555
526,10/23/2020,PET (20),30,62,88,199
527,10/23/2020,PET (4),30,72,77,200
528,10/23/2020,tOPS,0,53,127,200
529,10/26/2020,Fixed (20),0,3,48,126
530,10/26/2020,Fixed (4),0,12,40,126
531,10/26/2020,Hist Prev (20),0,12,40,126
532,10/26/2020,Hist Prev (4),0,12,40,126
533,10/26/2020,Individual,0,0,0,174
534,10/26/2020,PET (20),4,0,12,162
535,10/26/2020,PET (4),4,0,12,162
536,10/26/2020,tOPS,0,16,33,126
537,10/27/2020,Fixed (20),0,13,80,134
538,10/27/2020,Fixed (4),0,57,24,135
539,10/27/2020,Hist Prev (20),0,42,28,135
540,10/27/2020,Hist Prev (4),0,57,24,135
541,10/27/2020,Individual,0,0,0,361
542,10/27/2020,PET (20),20,14,35,135
543,10/27/2020,PET (4),20,41,20,135
544,10/27/2020,tOPS,0,21,56,135
545,10/28/2020,Fixed (20),0,14,220,174
546,10/28/2020,Fixed (4),0,62,87,175
547,10/28/2020,Hist Prev (20),0,60,91,175
548,10/28/2020,Hist Prev (4),0,62,87,175
549,10/28/2020,Individual,0,0,0,422
550,10/28/2020,PET (20),23,44,80,175
551,10/28/2020,PET (4),23,44,77,175
552,10/28/2020,tOPS,0,49,108,174
553,10/29/2020,Fixed (20),0,0,0,175
554,10/29/2020,Fixed (4),0,0,0,175
555,10/29/2020,Hist Prev (20),0,0,0,175
556,10/29/2020,Hist Prev (4),0,0,0,175
557,10/29/2020,Individual,0,0,0,175
558,10/29/2020,PET (20),0,0,0,175
559,10/29/2020,PET (4),0,0,0,175
560,10/29/2020,tOPS,0,0,0,175
561,10/30/2020,Fixed (20),0,21,120,176
562,10/30/2020,Fixed (4),0,102,24,176
563,10/30/2020,Hist Prev (20),0,74,34,176
564,10/30/2020,Hist Prev (4),0,102,24,176
565,10/30/2020,Individual,0,0,0,583
566,10/30/2020,PET (20),35,27,63,176
567,10/30/2020,PET (4),35,75,23,178
568,10/30/2020,tOPS,0,39,64,176
569,11/2/2020,Fixed (20),0,4,60,188
570,11/2/2020,Fixed (4),0,18,20,188
571,11/2/2020,Hist Prev (20),0,18,20,188
572,11/2/2020,Hist Prev (4),0,18,20,188
573,11/2/2020,Individual,0,0,0,260
574,11/2/2020,PET (20),6,10,22,188
575,11/2/2020,PET (4),6,13,19,188
576,11/2/2020,tOPS,0,15,25,188
577,11/3/2020,Fixed (20),0,8,0,109
578,11/3/2020,Fixed (4),0,37,0,110
579,11/3/2020,Hist Prev (20),0,33,0,109
580,11/3/2020,Hist Prev (4),0,37,0,110
581,11/3/2020,Individual,0,0,0,257
582,11/3/2020,PET (20),13,4,0,109
583,11/3/2020,PET (4),13,26,0,109
584,11/3/2020,tOPS,0,8,0,109
585,11/4/2020,Fixed (20),0,2,34,129
586,11/4/2020,Fixed (4),0,9,16,129
587,11/4/2020,Hist Prev (20),0,9,16,129
588,11/4/2020,Hist Prev (4),0,9,16,129
589,11/4/2020,Individual,0,0,0,163
590,11/4/2020,PET (20),3,6,15,130
591,11/4/2020,PET (4),3,6,15,130
592,11/4/2020,tOPS,0,9,16,129
593,11/5/2020,Fixed (20),0,4,53,241
